Issue Key,SUMMARY,FixVersion,Parent,CE,EE
EE-6299,[Develop] Helm Details not showing,EE-2.20.0,,✓,✓
EE-6292,Deploying an edge stack to a Kubernetes async device fails,EE-2.20.0,,-,✓
EE-6288,[Develop] Adding a license to Portainer doesn't trigger license check-in,EE-2.20.0,,-,✓
EE-6282,[NOTRegression][REVIEWED] Kube Secrets and ConfigMaps referenced via envFrom: (instead of valueFrom:) don't show as related resources in Application screen,EE-2.20.0,,✓,✓
EE-6280,[Develop] Kubernetes - Create from Manifest screen Deploy button enabled as there are no Mandatory fields,EE-2.20.0,,✓,✓
EE-6279,[Develop] Kubernetes Unable to deploy Custom Template directly from List,EE-2.20.0,,✓,✓
EE-6272,Missing word in MicroK8s version retrieval error message,EE-2.20.0,,-,✓
EE-6229,Disabled input cursor should show on hover of disabled for input toggles,EE-2.20.0,,✓,✓
EE-6216,[Develop] Cannot select system namespaces in Kubernetes Application List's namespace selector,EE-2.20.0,,✓,✓
EE-6200,Swagger API documentation - Stack image status endpoint is incorrect,EE-2.20.0,,-,✓
EE-6199,Swagger API documentation - POST /users/{id}/tokens example response has incorrect digest format,EE-2.20.0,,✓,✓
EE-6185,Swagger API documentation - no image_status endpoints examples or status explanation,EE-2.20.0,,-,✓
EE-6146,"[x] Swagger API documentation - cloud, etc. issues",EE-2.20.0,,-,✓
EE-6125,[Develop] Kubernetes Node data table doesn't load for standard CE users,CE-2.20.0,,✓,-
EE-6120,'CPU used' shows very high value on Kubernetes Cluster details screen,EE-2.20.0,,✓,✓
EE-6119,[x] Swagger API documentation - undocumented call to get schedule status and inactive API call,EE-2.20.0,,-,✓
EE-5977,[NOT2.19Regression][REVIEWED] Environment access 'Create access' button enabled incorrectly,EE-2.20.0,,✓,✓
EE-5933,[NOT2.19Regression][REVIEWED] Kube Edit Application - Multiple issues with resource quota,EE-2.20.0,,✓,✓
EE-5879,[x] UI - Web editor - Tiny font in the search/replace feature,EE-2.20.0,,✓,✓
EE-5768,[x] Kubernetes - cleaning up ECR or other registry entry in Portainer does not remove image pull secrets in namespaces,EE-2.20.0,,✓,✓
EE-5723,[x] MicroK8s - Portainer server addon shows as enabled when it is agent that's installed,EE-2.20.0,,-,✓
EE-5718,[x] eksctl_exec.go:Run() has a data-race,EE-2.20.0,,-,✓
EE-5686,[x] Kubernetes application search not working when app exposed via ingress,EE-2.20.0,,✓,✓
EE-5581,"[x] Kubernetes Volume Details show the last Access Policy of the Storage Class bound to the PVC, not the PVC access policy itself",EE-2.20.0,,✓,✓
